Country,Year,Total_Energy,GDP_USD,GDP_per_capita_USD,Continent
Afghanistan,2020,0.66,20116137326,516.7478708,Asia
Albania,2020,5.31,15131866271,5332.160475,Europe
Algeria,2020,0.78,1.45E+11,3306.858208,Africa
American Samoa,2020,0,709000000,12844.90099,Oceania
Angola,2020,10.35,53619071176,1631.431691,Africa
Antigua and Barbuda,2020,0.01,1370281481,13992.74448,North America
Argentina,2020,35.45,3.90E+11,8585.694742,South America
Armenia,2020,1.8,12641209802,4266.018074,Asia
Aruba,2020,0.15,2496648045,23384.29879,North America
Australia,2020,59.7,1.33E+12,51680.31652,Oceania
Austria,2020,55.42,4.33E+11,48588.65938,Europe
Azerbaijan,2020,1.22,42693000000,4229.910649,Asia
Bahamas,2020,0,9699500000,24665.09683,North America
Bahrain,2020,0.01,34723357447,20406.50233,Asia
Bangladesh,2020,1.07,3.74E+11,2270.347535,Asia
Barbados,2020,0.04,4689534962,16318.74811,North America
Belarus,2020,1.26,61489588895,6555.426818,Europe
Belgium,2020,23.41,5.22E+11,45189.3669,Europe
Belize,2020,0.25,1585631670,3987.796596,North America
Benin,2020,0.01,15651545332,1291.040972,Africa
Bhutan,2020,8.95,2315436303,3000.777986,Asia
Bolivia,2020,3.76,36629843806,3137.989617,South America
Bosnia and Herzegovina,2020,6.43,19955120005,6082.36673,Europe
Botswana,2020,0,14930072799,6348.832318,Africa
Brazil,2020,528.22,1.45E+12,6814.875632,South America
Brunei,2020,0,12005825770,27442.95383,Asia
Bulgaria,2020,7.48,69889347433,10079.20338,Europe
Burkina Faso,2020,0.16,17933606353,857.9327297,Africa
Burundi,2020,0.24,2780510625,233.8375103,Africa
Cambodia,2020,3.92,25872798012,1547.511388,Asia
Cameroon,2020,5.9,40804449726,1537.130218,Africa
Canada,2020,433.63,1.65E+12,43258.26387,North America
Cape Verde,2020,0.09,1703698677,3064.272388,Africa
Cayman Islands,2020,0.02,5608989196,85346.76195,North America
Central African Republic,2020,0.15,2326720921,481.7462966,Africa
Chad,2020,0.01,10715396135,652.3492096,Africa
Chile,2020,35.7,2.53E+11,13220.57076,South America
China,2020,2185.134,1.47E+13,10408.66976,Asia
Colombia,2020,47.35,2.70E+11,5312.198556,South America
Comoros,2020,0,1223876065,1407.40927,Africa
Congo,2020,1.15,10483151094,1899.778237,Africa
Costa Rica,2020,11.52,62158002233,12201.92603,North America
Cote d'Ivoire,2020,2.33,61348579465,2325.723705,Africa
Croatia,2020,8.55,57203783203,14132.48656,Europe
Cuba,2020,2.93,1.07E+11,9477.852873,North America
Cyprus,2020,0.6,24692095945,27681.56641,Europe
Czechia,2020,10.34,2.45E+11,22933.49959,Europe
Democratic Republic of Congo,2020,9.22,48716960860,543.9503925,Africa
Denmark,2020,23.45,3.56E+11,61063.31643,Europe
Djibouti,2020,0,3181071154,3219.701128,Africa
Dominica,2020,0.04,504214814.8,7003.859021,North America
Dominican Republic,2020,1.28,78844702329,7268.19691,North America
Ecuador,2020,26.2,99291124000,5627.77228,South America
Egypt,2020,17.59,3.65E+11,3569.206841,Africa
El Salvador,2020,4.64,24638720000,3798.636521,North America
Equatorial Guinea,2020,0.12,10099157270,7198.335884,Africa
Eritrea,2020,0.03,2065001626,642.5082588,Africa
Estonia,2020,2.84,30650285472,23054.35849,Europe
Eswatini,2020,0.62,3984840580,3434.721798,Africa
Ethiopia,2020,14.14,1.08E+11,936.4507576,Africa
Faeroe Islands,2020,0.17,3240759989,66320.6792,Europe
Fiji,2020,0.66,4574413823,5102.843929,Oceania
Finland,2020,35.61,2.72E+11,49160.83715,Europe
France,2020,124.71,2.63E+12,39037.12263,Europe
French Polynesia,2020,0.22,5669368717,20182.5845,Oceania
Gabon,2020,1.76,15316824039,6881.714225,Africa
Gambia,2020,0,1830413000,757.4131116,Africa
Georgia,2020,8.34,15842922533,4255.742993,Asia
Germany,2020,250.15,3.85E+12,46252.6893,Europe
Ghana,2020,7.3,70043199814,2254.153889,Africa
Greece,2020,17.51,1.89E+11,17647.23269,Europe
Greenland,2020,0.5,3075968329,54570.37502,North America
Grenada,2020,0,1043411111,9273.199292,North America
Guam,2020,0.07,5844000000,34624.34013,Oceania
Guatemala,2020,8.53,77604632621,4603.339643,North America
Guinea,2020,2.49,14169626010,1078.950006,Africa
Guinea-Bissau,2020,0,1431758243,727.5201717,Africa
Guyana,2020,0.16,5471256595,6955.939217,South America
Haiti,2020,0.13,14508218017,1272.367992,North America
Honduras,2020,5.87,23827840810,2405.732848,North America
Hong Kong,2020,0.01,3.45E+11,46100.97587,Asia
Hungary,2020,5.52,1.57E+11,16075.97327,Europe
Iceland,2020,19.13,21718075725,59264.03409,Europe
India,2020,314.848,2.67E+12,1933.101069,Asia
Indonesia,2020,35.852,1.06E+12,3870.55762,Asia
Iran,2020,28.72,2.32E+11,2756.749977,Asia
Iraq,2020,1.86,1.84E+11,4583.747494,Asia
Ireland,2020,13.48,4.26E+11,85422.54287,Europe
Israel,2020,4.42,4.07E+11,44177.57122,Asia
Italy,2020,116.9,1.89E+12,31834.97262,Europe
Jamaica,2020,0.61,13812425037,4664.530242,North America
Japan,2020,231.44,5.04E+12,39918.16756,Asia
Jordan,2020,3.17,43697659296,4282.765825,Asia
Kazakhstan,2020,13.515,1.71E+11,9121.637138,Asia
Kenya,2020,9.9,1.01E+11,1872.124026,Africa
Kiribati,2020,0,180911843.6,1514.591059,Oceania
Kosovo,2020,0.36,7716925356,4310.811183,Europe
Kuwait,2020,0.06,1.06E+11,24811.76971,Asia
Kyrgyzstan,2020,14.8,7780874537,1182.5217,Asia
Laos,2020,19.46,18981800705,2608.982833,Asia
Latvia,2020,3.64,33645460617,17703.95344,Europe
Lebanon,2020,1.13,25948915861,3801.792743,Asia
Lesotho,2020,0.5,2250717718,1050.631634,Africa
Liberia,2020,0.53,3039982540,601.0630058,Africa
Libya,2020,0.01,52320215472,7614.325449,Africa
Lithuania,2020,2.57,56546957475,20232.30204,Europe
Luxembourg,2020,0.97,73353132794,116356.158,Europe
Macao,2020,0,25586111076,39403.13591,Asia
Madagascar,2020,0.83,13225591804,477.6130414,Africa
Malawi,2020,1.37,12172128470,636.2863096,Africa
Malaysia,2020,18.58,3.37E+11,10412.34767,Asia
Maldives,2020,0,3742769967,6924.105745,Asia
Mali,2020,1.17,17465392779,862.453012,Africa
Malta,2020,0.22,14917038504,28946.46268,Europe
Mauritania,2020,0.47,7915985514,1702.486959,Africa
Mauritius,2020,0.6,10926820603,8632.752859,Africa
Mexico,2020,72.76,1.09E+12,8431.665017,North America
Moldova,2020,0.26,11859730544,4525.759654,Europe
Mongolia,2020,0.73,13312981595,4060.950518,Asia
Morocco,2020,6.56,1.15E+11,3058.69165,Africa
Mozambique,2020,14.35,14028811072,448.8438914,Africa
Myanmar,2020,11.34,78930257227,1450.662673,Asia
Namibia,2020,1,10562637376,4157.019506,Africa
Nepal,2020,3.09,33433670512,1147.471971,Asia
Netherlands,2020,33.01,9.14E+11,52396.03221,Europe
New Caledonia,2020,0.27,9435529927,34694.5504,Oceania
New Zealand,2020,35.25,2.12E+11,41596.5055,Oceania
Nicaragua,2020,2.63,12586941393,1900.043594,North America
Niger,2020,0.02,13741378450,567.6698923,Africa
Nigeria,2020,6.16,4.32E+11,2097.092473,Africa
North Korea,2020,12.22,,,Asia
Macedonia,2020,1.48,12116981815,5846.465899,Europe
Norway,2020,151.11,3.62E+11,67329.67779,Europe
Oman,2020,0,73971391417,14485.38612,Asia
Pakistan,2020,43.06,3.00E+11,1359.514522,Asia
Panama,2020,8.33,53977037000,12509.83529,North America
Papua New Guinea,2020,0.88,24667052023,2757.011019,Oceania
Paraguay,2020,49.34,35432178068,4967.687212,South America
Peru,2020,32.18,2.02E+11,6117.493571,South America
Philippines,2020,22.8,3.62E+11,3301.218603,Asia
Poland,2020,28.23,5.97E+11,15742.45373,Europe
Portugal,2020,30.11,2.29E+11,22194.56611,Europe
Puerto Rico,2020,2.81,1.03E+11,31429.86612,North America
Qatar,2020,0.04,1.44E+11,50124.38594,Asia
Romania,2020,24.61,2.50E+11,12956.56625,Europe
Russia,2020,199.9,1.49E+12,10161.98242,Europe
Rwanda,2020,0.51,10184345442,786.3018148,Africa
Saint Kitts and Nevis,2020,0.01,980905888.9,18440.85368,North America
Saint Lucia,2020,0,1616772748,8804.561089,North America
Saint Vincent and the Grenadines,2020,0.04,872134546.8,7860.821354,North America
Samoa,2020,0.05,807147527.6,4068.078865,Oceania
Sao Tome and Principe,2020,0.01,472914469.9,2157.840446,Africa
Saudi Arabia,2020,1.04,7.03E+11,20203.66888,Asia
Senegal,2020,0.73,24493157583,1462.808169,Africa
Serbia,2020,10.21,53335016425,7730.691746,Europe
Seychelles,2020,0,1200634489,12193.88687,Africa
Sierra Leone,2020,0.19,4063289450,509.376594,Africa
Singapore,2020,1.03,3.45E+11,60729.45035,Asia
Slovakia,2020,6.94,1.05E+11,19266.51357,Europe
Slovenia,2020,5.58,53589609581,25489.50023,Europe
Solomon Islands,2020,0,1545888426,2250.601164,Oceania
Somalia,2020,0.02,6965285325,438.2551656,Africa
South Africa,2020,15.62,3.35E+11,5655.867654,Africa
South Korea,2020,48.92,1.64E+12,31597.50465,Asia
South Sudan,2020,0,11997800760,1119.651437,Africa
Spain,2020,113.79,1.28E+12,27056.42175,Europe
Sri Lanka,2020,5.61,80969683537,3694.040948,Asia
Sudan,2020,8.48,26987563444,615.4620972,Africa
Suriname,2020,1.37,2884248048,4916.605666,South America
Sweden,2020,112.15,5.41E+11,52300.2062,Europe
Switzerland,2020,43.49,7.52E+11,87100.41482,Europe
Syria,2020,0.76,21445775364,1265.60619,Asia
Taiwan,2020,16.65,6.73E+11,28571.50618,Asia
Tajikistan,2020,17,8133996648,852.8309878,Asia
Tanzania,2020,3.01,62409709111,1076.469727,Africa
Thailand,2020,26.16,5.00E+11,7158.766684,Asia
Togo,2020,0.09,7574636979,914.9507925,Africa
Tonga,2020,0,488829964.1,4624.823449,Oceania
Trinidad and Tobago,2020,0.02,21392536138,15285.94049,North America
Tunisia,2020,0.81,42514151614,3597.218525,Africa
Turkey,2020,128.34,7.20E+11,8536.43332,Europe
Turkmenistan,2020,0,45231428571,7612.03518,a
Turks and Caicos Islands,2020,0,924583000,23879.92665,North America
Uganda,2020,4.38,37600368181,822.0276815,Africa
Ukraine,2020,17.56,1.57E+11,3751.740723,Europe
United Arab Emirates,2020,3.79,3.59E+11,36284.55524,Asia
United Kingdom,2020,131.95,2.76E+12,41098.07865,Europe
United States,2020,819.2,2.09E+13,63027.67953,North America
United States Virgin Islands,2020,0.01,4204000000,39552.1686,North America
Uruguay,2020,10.73,53560755047,15418.81531,South America
Uzbekistan,2020,6.91,59894305353,1749.655815,Asia
Vanuatu,2020,0.02,896827873.1,2919.8368,Oceania
Venezuela,2020,72.1,4.82E+11,16055.64532,South America
Vietnam,2020,57.6,3.43E+11,3526.274579,Asia
Yemen,2020,0.5,18840511908,631.68149,Asia
Zambia,2020,13.98,18110631358,985.132436,Africa
Zimbabwe,2020,7.65,18051170799,1214.50982,Africa
